currentid   ICAO_type
C-GAKT      PA38            
C-GAKV      BALL            
C-GAKW      C172            
C-GAKX      CH20            
C-GAKY      C150            
C-GAKZ      C172            
C-GALA      NIMB            
C-GALB      C172            
C-GALC      PA24            
C-GALF      C207            
C-GALM      ACAM            
C-GALP      C82S            
C-GALQ      AT3P            
C-GALS      LA4             
C-GALV      CAD4            
C-GALW      BD4             
C-GALY      C185            
C-GAMA      C172            
C-GAMB      C172            
C-GAMD      C210            
C-GAMG      C172            
C-GAMH      C185            
C-GAMJ      C340            
C-GAMK      C172            
C-GAML      C172            
C-GAMO      C182            
C-GAMP      C172            
C-GAMR      C210            
C-GAMS      GLID            
C-GAMT      C150            
C-GAMV      C172            
C-GAMW      ZZZZ            
C-GAMY      C337            
C-GAMZ      C182            
C-GANB      G164            
C-GANC      ULAC            
C-GAND      S108            
C-GANE      C206            
C-GANG      PA32            
C-GANM      C206            
C-GANN      P28A            
C-GANP      C185            
C-GANS      C206            
C-GANT      ZZZZ            
C-GANW      CH65            
C-GANX      AR11            
C-GANY      J3              
C-GAOA      C172            
C-GAOB      RBEL            
C-GAOC      BE33            
C-GAOH      J3              
C-GAOI      CH75            
C-GAOK      PA18            
C-GAOM      P28A            
C-GAOO      P28A            
C-GAOP      P28A            
C-GAOQ      L8              
C-GAOR      SRAI            
C-GAOU      CH7A            
C-GAOV      GLID            
C-GAOW      BALL            
C-GAOX      CH7A            
C-GAOY      BE23            
C-GAOZ      PA34            
C-GAPA      NDAC            
C-GAPB      P28A            
C-GAPF      RV6             
C-GAPG      P28A            
C-GAPI      P28A            
C-GAPJ      RV7             
C-GAPK      C185            
C-GAPN      ZZZZ            
C-GAPO      P28B            
C-GAPP      Z42             
C-GAPQ      CH7B            
C-GAPS      C172            
C-GAPV      RV6             
C-GAPW      MUS2            
C-GAPX      CH60            
C-GAQA      M4              
C-GAQB      BE23            
C-GAQC      C172            
C-GAQD      C172            
C-GAQE      C172            
C-GAQF      C172            
C-GAQG      C172            
C-GAQH      C150            
C-GAQK      C185            
C-GAQL      C182            
C-GAQM      C180            
C-GAQN      C172            
C-GAQP      PA12            
C-GAQQ      P28A            
C-GAQR      P28A            
C-GAQS      C177            
C-GAQU      M5              
C-GAQV      C172            
C-GAQW      TNDR            
C-GAQX      C172            
C-GAQY      CH7A            
C-GAQZ      C172            
C-GARA      RV6             
C-GARC      MUS2            
C-GARD      CH7B            
C-GARF      C150            
C-GARI      PA27            
C-GARK      CH7A            
C-GARL      PA22            
C-GARM      C72R            
C-GARP      P28U            
C-GARQ      IS28            
C-GARS      GLID            
C-GART      BE36            
C-GARU      C175            
C-GARV      RV7             
C-GARY      C172            
C-GASA      C172            
C-GASC      C172            
C-GASD      C150            
C-GASG      C172            
C-GASH      BE35            
C-GASJ      C150            
C-GASN      C150            
C-GASO      C206            
C-GASP      P28A            
C-GASQ      C150            
C-GASS      C182            
C-GAST      C310            
C-GASU      C150            
C-GASX      C182            
C-GASY      C182            
C-GATA      AA1             
C-GATB      RV6             
C-GATC      C172            
C-GATD      C185            
C-GATF      AA5             
C-GATG      BALL            
C-GATI      P28U            
C-GATL      ALBU            
C-GATN      C172            
C-GATQ      PA18            
C-GATS      BALL            
C-GATT      C210            
C-GATU      PA31            
C-GATV      PA36            
C-GATW      FOX             
C-GATZ      C182            
C-GAUB      C152            
C-GAUC      RS21            
C-GAUD      SA30            
C-GAUF      C150            
C-GAUG      RV6             
C-GAUJ      PISI            
C-GAUK      SR20            
C-GAUL      PK20            
C-GAUM      C185            
C-GAUN      RV4             
C-GAUO      J3              
C-GAUQ      RV4             
C-GAUS      SS2T            
C-GAUT      CH7B            
C-GAUU      S22T            
C-GAUV      ZZZZ            
C-GAUW      PIVI            
C-GAUX      PA32            
C-GAVB      BOLT            
C-GAVD      CH30            
C-GAVE      C185            
C-GAVG      C172            
C-GAVH      D11             
C-GAVJ      VO10            
C-GAVN      C150            
C-GAVR      UL10            
C-GAVT      HUSK            
C-GAVV      C172            
C-GAVW      C172            
C-GAVX      M20P            
C-GAVY      BALL            
C-GAVZ      PA23            
C-GAWC      C150            
C-GAWD      C172            
C-GAWE      C150            
C-GAWF      DA62            
C-GAWG      GLID            
C-GAWH      S22T            
C-GAWK      GLID            
C-GAWL      C182            
C-GAWM      SR22            
C-GAWN      C310            
C-GAWO      C180            
C-GAWT      SR20            
C-GAWW      C170            
C-GAWY      MUS2            
C-GAXA      C172            
C-GAXC      AA1             
C-GAXD      C172            
C-GAXG      GLID            
C-GAXI      C172            
C-GAXK      PA18            
C-GAXL      ZZZZ            
C-GAXO      P28R            
C-GAXP      C150            
C-GAXQ      O1              
C-GAXS      TAYB            
C-GAXT      AT3P            
C-GAXU      C172            
C-GAXV      C172            
C-GAXY      C172            
C-GAXZ      P28A            
C-GAYH      BALL            
C-GAYI      LNCE            
C-GAYK      C185            
C-GAYL      AR11            
C-GAYO      BLKS            
C-GAYT      C172            
C-GAYW      MC10            
C-GAYY      PA31            
C-GAZA      C185            
C-GAZC      C185            
C-GAZD      C185            
C-GAZK      C172            
C-GAZL      P28S            
C-GAZM      C150            
C-GAZN      C172            
C-GAZO      GLID            
C-GAZP      C172            
C-GAZR      C172            
C-GAZS      BALL            
C-GAZT      C150            
C-GAZV      RA14            
C-GAZW      C172            
C-GAZX      RV10            
C-GAZY      C185            
C-GAZZ      C180            
C-GBAA      CH7B            
C-GBAB      CH7B            
C-GBAC      BL17            
C-GBAF      C172            
C-GBAG      CH7B            
C-GBAH      C150            
C-GBAK      C210            
C-GBAL      C172            
C-GBAN      BE35            
C-GBAO      AT8T            
C-GBAR      ZZZZ            
C-GBAU      BE55            
C-GBAX      C172            
C-GBAY      C172            
C-GBAZ      BL8             
C-GBBE      ULAC            
C-GBBF      ZZZZ            
C-GBBG      SR22            
C-GBBH      DH82            
C-GBBK      C206            
C-GBBL      C182            
C-GBBO      PA18            
C-GBBP      C172            
C-GBBQ      BALL            
C-GBBR      AT5T            
C-GBBS      B58T            
C-GBBT      J3              
C-GBBV      NDAC            
C-GBBW      C182            
C-GBBY      P28U            
C-GBBZ      C206            
C-GBCA      RBEL            
C-GBCB      ULAC            
C-GBCC      BALL            
C-GBCD      SR22            
C-GBCE      SR22            
C-GBCF      ZZZZ            
C-GBCJ      MUS2            
C-GBCK      DA40            
C-GBCP      BE55            
C-GBCQ      C152            
C-GBCR      C172            
C-GBCU      RV9             
C-GBCV      CAMP            
C-GBCX      P28A            
C-GBDD      C182            
C-GBDE      BL8             
C-GBDJ      BE60            
C-GBDK      AT3P            
C-GBDL      ZZZZ            
C-GBDM      PA27            
C-GBDN      PA31            
C-GBDO      C172            
C-GBDP      CH7B            
C-GBDQ      C172            
C-GBDR      BALL            
C-GBDS      GLAS            
C-GBDU      ZZZZ            
C-GBDZ      P28A            
C-GBEA      C172            
C-GBEB      SA30            
C-GBEC      ZZZZ            
C-GBED      C82R            
C-GBEE      RBEL            
C-GBEF      P28A            
C-GBEG      FOX             
C-GBEH      PA17            
C-GBEJ      RV6             
C-GBEK      IS28            
C-GBEQ      GLID            
C-GBER      J3              
C-GBES      AR11            
C-GBET      CH20            
C-GBEV      C172            
C-GBEW      LA4             
C-GBEX      PEGZ            
C-GBEY      PEGZ            
C-GBEZ      PEGZ            
C-GBFA      C172            
C-GBFB      C172            
C-GBFC      C182            
C-GBFD      T210            
C-GBFG      PA34            
C-GBFI      FOX             
C-GBFJ      C172            
C-GBFK      C172            
C-GBFM      C172            
C-GBFN      P28A            
C-GBFQ      C150            
C-GBFR      C172            
C-GBFS      PA31            
C-GBFT      C185            
C-GBFV      BOLT            
C-GBFX      ERCO            
C-GBFY      C182            
C-GBFZ      BE23            
C-GBGA      C182            
C-GBGB      AC11            
C-GBGD      PELI            
C-GBGE      FOX             
C-GBGF      RV3             
C-GBGI      C140            
C-GBGK      P28A            
C-GBGL      BALL            
C-GBGM      C150            
C-GBGN      NSTR            
C-GBGO      S108            
C-GBGP      BE55            
C-GBGQ      PA12            
C-GBGU      G109            
C-GBGV      C172            
C-GBGW      CH20            
C-GBGX      C152            
C-GBGY      BALL            
C-GBGZ      C172            
C-GBHA      ULAC            
C-GBHC      PA34            
C-GBHD      PA27            
C-GBHK      BE55            
C-GBHL      C206            
C-GBHQ      CH60            
C-GBHS      C150            
C-GBHT      PA24            
C-GBHU      C172            
C-GBHW      GLID            
C-GBHX      C172            
C-GBIB      RBEL            
C-GBIC      C206            
C-GBID      C185            
C-GBIE      PA38            
C-GBIF      C185            
C-GBIG      G102            
C-GBIO      ZZZZ            
C-GBIQ      BALL            
C-GBIR      ZZZZ            
C-GBIT      DV20            
C-GBIU      C172            
C-GBIX      C206            
C-GBIY      C82S            
C-GBIZ      J3              
C-GBJC      PA22            
C-GBJD      C152            
C-GBJE      ZZZZ            
C-GBJG      C172            
C-GBJJ      PA44            
C-GBJK      P28U            
C-GBJL      C172            
C-GBJM      DA2             
C-GBJO      C172            
C-GBJP      C182            
C-GBJQ      C152            
C-GBJR      GLID            
C-GBJT      CH20            
C-GBJU      C152            
C-GBJW      C152            
C-GBJX      C170            
C-GBJY      GLID            
C-GBKE      DV20            
C-GBKF      PTS1            
C-GBKG      C172            
C-GBKI      HUSK            
C-GBKJ      C172            
C-GBKK      GLID            
C-GBKM      C172            
C-GBKN      BALL            
C-GBKO      C172            
C-GBKQ      C172            
C-GBKR      BALL            
C-GBKS      C180            
C-GBKU      CH7A            
C-GBKZ      PEGZ            
C-GBLA      BE95            
C-GBLC      S22T            
C-GBLE      PEGZ            
C-GBLG      C172            
C-GBLI      KTOO            
C-GBLJ      C340            
C-GBLK      C180            
C-GBLM      M4              
C-GBLN      CHR1            
C-GBLO      GLID            
C-GBLP      C172            
C-GBLQ      C172            
C-GBLR      C152            
C-GBLS      GLID            
C-GBLV      DFLY            
C-GBLW      C182            
C-GBLX      COL4            
C-GBMA      C182            
C-GBMB      C335            
C-GBMC      C150            
C-GBMD      C150            
C-GBME      PA22            
C-GBMG      C150            
C-GBMI      PA31            
C-GBMJ      C172            
C-GBMK      C172            
C-GBML      C172            
C-GBMM      C172            
C-GBMN      C150            
C-GBMO      C172            
C-GBMQ      CH7B            
C-GBMR      C150            
C-GBMS      C150            
C-GBMT      C177            
C-GBMU      PEGZ            
C-GBMW      C182            
C-GBMX      PA31            
C-GBMY      BL17            
C-GBMZ      PA24            
C-GBNB      C172            
C-GBNC      C172            
C-GBNF      BE55            
C-GBNG      C172            
C-GBNI      SR22            
C-GBNK      C150            
C-GBNL      C150            
C-GBNN      CH30            
C-GBNO      PA12            
C-GBNQ      CH7A            
C-GBNT      C172            
C-GBNU      PA22            
C-GBNW      RV9             
C-GBNY      P28A            
C-GBNZ      C206            
C-GBOA      P28A            
C-GBOB      C185            
C-GBOC      BE55            
C-GBOF      C72R            
C-GBOG      DV20            
C-GBOJ      C185            
C-GBOK      BE95            
C-GBOL      C185            
C-GBOM      BE23            
C-GBOO      PA12            
C-GBOR      M7              
C-GBOY      BE24            
C-GBOZ      C152            
C-GBPA      DIMO            
C-GBPF      C172            
C-GBPG      M5              
C-GBPJ      LA4             
C-GBPK      RBEL            
C-GBPO      C206            
C-GBPP      P28A            
C-GBPS      C182            
C-GBPT      C172            
C-GBPV      AT8T            
C-GBPW      RV7             
C-GBPX      ULAC            
C-GBPY      AT8T            
C-GBPZ      C152            
C-GBQI      BE23            
C-GBQJ      C185            
C-GBQK      C152            
C-GBQO      C152            
C-GBQP      AEST            
C-GBQQ      P28R            
C-GBQR      SA02            
C-GBQT      RA14            
C-GBQU      CP30            
C-GBQW      C172            
C-GBQX      CH70            
C-GBRA      SS2T            
C-GBRB      C140            
C-GBRC      C310            
C-GBRD      C185            
C-GBRE      C180            
C-GBRI      BE60            
C-GBRJ      C180            
C-GBRM      C172            
C-GBRN      C182            
C-GBRO      C172            
C-GBRR      BALL            
C-GBRS      C172            
C-GBRT      CH70            
C-GBRU      C172            
C-GBRV      RV3             
C-GBRW      G115            
C-GBRX      S22T            
C-GBRY      C172            
C-GBSA      ZZZZ            
C-GBSB      G164            
C-GBSC      C82R            
C-GBSE      C180            
C-GBSG      C240            
C-GBSI      GLID            
C-GBSJ      PELI            
C-GBSL      C172            
C-GBSM      T210            
C-GBSN      C172            
C-GBSO      PA18            
C-GBSP      S22T            
C-GBSQ      P28B            
C-GBSR      BE55            
C-GBST      C152            
C-GBSV      BE23            
C-GBSX      BE23            
C-GBSY      COL4            
C-GBTC      BE24            
C-GBTG      BE36            
C-GBTH      PA22            
C-GBTK      AT3P            
C-GBTN      MIMU            
C-GBTP      GLID            
C-GBTQ      C152            
C-GBTT      BE55            
C-GBTV      P28B            
C-GBTW      C172            
C-GBTX      G103            
C-GBTY      C150            
C-GBTZ      GLID            
C-GBUC      P28B            
C-GBUD      C172            
C-GBUG      C182            
C-GBUJ      C182            
C-GBUM      M7              
C-GBUN      SRAI            
C-GBUO      ZZZZ            
C-GBUR      ZZZZ            
C-GBUS      C182            
C-GBUT      C170            
C-GBUV      DA40            
C-GBUX      S22T            
C-GBVB      AEST            
C-GBVC      LGEZ            
C-GBVF      GLID            
C-GBVG      RV4             
C-GBVH      C180            
C-GBVJ      C182            
C-GBVK      D11             
C-GBVL      GLID            
C-GBVM      C310            
C-GBVN      GLID            
C-GBVO      GLID            
C-GBVP      GLID            
C-GBVQ      J3              
C-GBVS      GLID            
C-GBVV      GB1             
C-GBVW      T210            
C-GBVY      VJ22            
C-GBWA      AT5T            
C-GBWB      PA31            
C-GBWD      NDAC            
C-GBWF      AT5T            
C-GBWG      BALL            
C-GBWH      GLST            
C-GBWJ      C152            
C-GBWK      C185            
C-GBWL      SREY            
C-GBWM      PA27            
C-GBWO      ZZZZ            
C-GBWQ      C172            
C-GBWR      C172            
C-GBWT      C337            
C-GBWV      C185            
C-GBWW      PA32            
C-GBWY      PA25            
C-GBWZ      BE35            
C-GBXC      FBA2            
C-GBXD      C152            
C-GBXE      PA25            
C-GBXF      C152            
C-GBXG      C182            
C-GBXH      MAME            
C-GBXI      P32T            
C-GBXJ      C152            
C-GBXO      PA15            
C-GBXP      C172            
C-GBXQ      C152            
C-GBXR      MAGN            
C-GBXS      J3              
C-GBXT      BE33            
C-GBXU      C177            
C-GBXV      BE76            
C-GBXX      NIMB            
C-GBXY      SRAI            
C-GBYB      YK52            
C-GBYC      SA75            
C-GBYD      PA24            
C-GBYE      P28A            
C-GBYI      BALL            
C-GBYJ      SR22            
C-GBYP      C152            
C-GBYQ      P28A            
C-GBYR      GLID            
C-GBYS      PIVI            
C-GBYT      GLID            
C-GBYV      C421            
C-GBYW      GLID            
C-GBYX      CH7B            
C-GBYY      PA18            
C-GBYZ      C152            
C-GBZB      C152            
C-GBZC      NDIC            
C-GBZG      GLID            
C-GBZJ      AA5             
C-GBZK      RV6             
C-GBZL      T210            
C-GBZN      PA38            
C-GBZT      C140            
C-GBZU      C172            
C-GBZX      CH20            
C-GBZY      P28A            
C-GCAA      ALIG            
C-GCAB      M20P            
C-GCAC      CH7A            
C-GCAD      C150            
C-GCAE      P28A            
C-GCAG      C172            
C-GCAH      C180            
C-GCAJ      C180            
C-GCAK      C182            
C-GCAL      C182            
C-GCAN      C185            
C-GCAP      C185            
C-GCAS      BALL            
C-GCAT      PA18            
C-GCAV      P28A            
C-GCAW      C172            
C-GCAX      C150            
C-GCAY      C150            
C-GCAZ      C182            
C-GCBA      P28A            
C-GCBB      SR22            
C-GCBC      C150            
C-GCBD      AA5             
C-GCBE      C150            
C-GCBF      C172            
C-GCBG      C150            
C-GCBH      CH7A            
C-GCBI      C150            
C-GCBJ      C150            
C-GCBL      C210            
C-GCBM      PA22            
C-GCBN      C172            
C-GCBO      C170            
C-GCBP      CH7A            
C-GCBQ      PA22            
C-GCBR      PA18            
C-GCBU      C150            
C-GCBV      RV4             
C-GCBW      C172            
C-GCBX      P28A            
C-GCBY      C185            
C-GCBZ      C185            
C-GCCB      C150            
C-GCCC      P28A            
C-GCCE      ERCO            
C-GCCF      C421            
C-GCCG      C414            
C-GCCH      C172            
C-GCCI      P210            
C-GCCJ      BL8             
C-GCCK      CH7A            
C-GCCL      C150            
C-GCCM      RS21            
C-GCCO      C120            
C-GCCP      C172            
C-GCCQ      ULAC            
C-GCCR      P28A            
C-GCCS      C172            
C-GCCV      SREY            
C-GCCW      C172            
C-GCCX      C150            
C-GCCY      LA4             
C-GCCZ      C182            
C-GCDB      ERCO            
C-GCDC      CH7B            
C-GCDD      TAYB            
C-GCDE      BE35            
C-GCDG      C172            
C-GCDH      C172            
C-GCDI      C172            
C-GCDJ      T210            
C-GCDK      M4              
C-GCDL      BL8             
C-GCDN      PA24            
C-GCDO      C172            
C-GCDP      C150            
C-GCDQ      CH7B            
C-GCDT      C188            
C-GCDU      C170            
C-GCDV      PA22            
C-GCDW      C150            
C-GCDX      SS2T            
C-GCDY      C150            
C-GCDZ      M20P            
C-GCEB      BL8             
C-GCED      C185            
C-GCEE      C182            
C-GCEG      P28A            
C-GCEI      C182            
C-GCEJ      C177            
C-GCEL      PA18            
C-GCEM      C172            
C-GCEN      P28A            
C-GCEO      C172            
C-GCEP      P28A            
C-GCEQ      CH7A            
C-GCER      TAYD            
C-GCES      M20P            
C-GCET      C82T            
C-GCEW      C421            
C-GCEX      CH7A            
C-GCEY      C172            
C-GCFA      CH7B            
C-GCFC      BE55            
C-GCFE      C182            
C-GCFH      C206            
C-GCFI      C182            
C-GCFP      DISC            
C-GCFS      C172            
C-GCFW      BE24            
C-GCGC      P28A            
C-GCGG      PISI            
C-GCGH      C172            
C-GCGI      C152            
C-GCGJ      CAMP            
C-GCGL      CH60            
C-GCGM      C172            
C-GCGN      C150            
C-GCGO      C172            
C-GCGR      C421            
C-GCGV      C152            
C-GCGW      PITA            
C-GCGX      C185            
C-GCGY      C182            
C-GCGZ      P28A            
C-GCHB      C82S            
C-GCHE      COL4            
C-GCHU      C172            
C-GCIB      GC1             
C-GCIC      SREY            
C-GCIE      PA22            
C-GCIF      BE77            
C-GCII      C172            
C-GCIM      C185            
C-GCIS      P28A            
C-GCIT      SR20            
C-GCIU      P28R            
C-GCIW      P28S            
C-GCJA      C82R            
C-GCJC      C150            
C-GCJF      C185            
C-GCJG      PA22            
C-GCJH      PA31            
C-GCJI      PA14            
C-GCJJ      C177            
C-GCJM      C185            
C-GCJO      C150            
C-GCJP      C150            
C-GCJR      C77R            
C-GCJU      AA5             
C-GCJV      C180            
C-GCJW      KR2             
C-GCJX      PA31            
C-GCKA      C172            
C-GCKC      C172            
C-GCKE      BE33            
C-GCKG      C172            
C-GCKJ      C150            
C-GCKL      P28A            
C-GCKM      P28R            
C-GCKN      PA23            
C-GCKO      C172            
C-GCKR      AT5T            
C-GCKS      C170            
C-GCKT      AT5T            
C-GCKV      SS2T            
C-GCKW      VO10            
C-GCKY      C172            
C-GCKZ      C185            
C-GCLA      GLID            
C-GCLB      GLID            
C-GCLC      GLID            
C-GCLD      GLID            
C-GCLE      GLID            
C-GCLF      GLID            
C-GCLG      GLID            
C-GCLH      GLID            
C-GCLI      GA20            
C-GCLJ      GLID            
C-GCLK      GLID            
C-GCLL      GLID            
C-GCLM      GLID            
C-GCLN      GLID            
C-GCLO      C72R            
C-GCLP      RBEL            
C-GCLR      GLID            
C-GCLS      GLID            
C-GCLV      GLID            
C-GCLW      GLID            
C-GCLX      GLID            
C-GCLY      GLID            
C-GCLZ      GLID            
C-GCMB      RBEL            
C-GCMC      J3              
C-GCME      C175            
C-GCMF      P28A            
C-GCMG      P28A            
C-GCMH      C182            
C-GCMI      C182            
C-GCMM      FOX             
C-GCMN      J3              
C-GCMO      AR6T            
C-GCMQ      C172            
C-GCMR      LA4             
C-GCMT      B58T            
C-GCMU      C185            
C-GCMW      C185            
C-GCMZ      PA46            
C-GCNA      C150            
C-GCNB      C150            
C-GCND      C150            
C-GCNE      C140            
C-GCNF      CH7A            
C-GCNG      CH7A            
C-GCNH      CH60            
C-GCNI      CH7A            
C-GCNJ      P28A            
C-GCNL      C150            
C-GCNM      PA12            
C-GCNN      PA12            
C-GCNP      C172            
C-GCNQ      PA22            
C-GCNS      RS21            
C-GCNT      P28A            
C-GCNX      PA18            
C-GCNY      PA18            
C-GCOA      RV7             
C-GCOB      C172            
C-GCOC      C172            
C-GCOE      DH82            
C-GCOF      C172            
C-GCOG      C172            
C-GCOH      C172            
C-GCOI      C172            
C-GCOJ      C172            
C-GCOK      C172            
C-GCOL      P28A            
C-GCON      C177            
C-GCOO      C150            
C-GCOP      C172            
C-GCOR      CH7B            
C-GCOS      C150            
C-GCOT      C150            
C-GCOU      C150            
C-GCOV      AR11            
C-GCOW      CH7A            
C-GCOY      C172            
C-GCOZ      C172            
C-GCPA      PA32            
C-GCPB      CH60            
C-GCPC      HROC            
C-GCPD      RV7             
C-GCPE      CHR1            
C-GCPF      M20P            
C-GCPG      C177            
C-GCPK      FOX             
C-GCPL      RBEL            
C-GCPM      RV7             
C-GCPN      CH75            
C-GCPR      BL8             
C-GCPT      RV9             
C-GCPU      C150            
C-GCPZ      C185            
C-GCQD      C150            
C-GCQE      P28A            
C-GCQF      C188            
C-GCQH      NAVI            
C-GCQI      P28A            
C-GCQJ      C150            
C-GCQL      GC1             
C-GCQM      C172            
C-GCQN      C172            
C-GCQO      C172            
C-GCQP      C140            
C-GCQQ      ZZZZ            
C-GCQV      CH7A            
C-GCQX      ZZZZ            
C-GCQY      C182            
C-GCQZ      PA24            
C-GCRB      C182            
C-GCRH      PA23            
C-GCRI      C172            
C-GCRJ      S108            
C-GCRK      AT5T            
C-GCRL      RV8             
C-GCRM      PA24            
C-GCRO      C172            
C-GCRP      TRF1            
C-GCRS      P28A            
C-GCRT      C140            
C-GCRV      RV6             
C-GCRX      C177            
C-GCRY      CP30            
C-GCRZ      P28A            
C-GCSB      P28A            
C-GCSC      C182            
C-GCSE      P28S            
C-GCSF      PA31            
C-GCSG      C150            
C-GCSI      P337            
C-GCSJ      C152            
C-GCSK      GLID            
C-GCSL      PA12            
C-GCSM      ULAC            
C-GCSO      DA42            
C-GCSQ      RV8             
C-GCSR      SKYR            
C-GCSS      P32R            
C-GCST      RV6             
C-GCSV      PA22            
C-GCSW      SIDE            
C-GCSY      GLID            
C-GCSZ      PA15            
C-GCTA      PA31            
C-GCTB      PA18            
C-GCTD      C172            
C-GCTE      GLID            
C-GCTG      PA31            
C-GCTH      PA31            
C-GCTI      C82S            
C-GCTJ      C172            
C-GCTK      LA4             
C-GCTL      PA30            
C-GCTM      C206            
C-GCTN      GLID            
C-GCTO      SR22            
C-GCTP      C185            
C-GCTR      C152            
C-GCTT      CH70            
C-GCTV      BALL            
C-GCTW      B14B            
C-GCTY      C175            
C-GCTZ      C180            
C-GCUB      J3              
C-GCUC      C185            
C-GCUD      CH20            
C-GCUG      SA30            
C-GCUI      CH80            
C-GCUJ      C152            
C-GCUM      GLID            
C-GCUN      RV6             
C-GCUP      RV6             
C-GCUT      TAYD            
C-GCUW      J3              
C-GCUY      BOLT            
C-GCVA      CH20            
C-GCVB      J3              
C-GCVD      M5              
C-GCVG      CAMP            
C-GCVH      NAVI            
C-GCVK      C72R            
C-GCVM      T210            
C-GCVO      C172            
C-GCVP      C172            
C-GCVQ      GLID            
C-GCVR      PZ04            
C-GCVT      BE55            
C-GCVV      P28R            
C-GCVW      RV7             
C-GCVX      DV20            
C-GCVY      RV7             
C-GCVZ      RV6             
C-GCWA      VO10            
C-GCWB      PA22            
C-GCWD      C172            
C-GCWE      TAYB            
C-GCWF      C82R            
C-GCWI      M5              
C-GCWK      CHIN            
C-GCWO      C185            
C-GCWP      C172            
C-GCWR      PA18            
C-GCWX      RBEL            
C-GCXB      PA15            
C-GCXC      BALL            
C-GCXD      PA46            
C-GCXE      RBEL            
C-GCXG      LA25            
C-GCXH      ULAC            
C-GCXI      GLID            
C-GCXK      DV20            
C-GCXL      GLID            
C-GCXM      P337            
C-GCXN      C401            
C-GCXP      BALL            
C-GCXQ      PA22            
C-GCXS      VP2             
C-GCXT      SR22            
C-GCXU      CH60            
C-GCXV      C172            
C-GCXW      C182            
C-GCXX      C182            
C-GCXY      C182            
C-GCXZ      BALL            
C-GCYA      C185            
C-GCYC      C172            
C-GCYD      BALL            
C-GCYF      C172            
C-GCYG      C172            
C-GCYH      PELI            
C-GCYI      C172            
C-GCYJ      P28A            
C-GCYK      TAYB            
C-GCYL      PA31            
C-GCYO      TAYB            
C-GCYR      C172            
C-GCYS      C185            
C-GCYT      C150            
C-GCYU      C172            
C-GCYW      C172            
C-GCYX      AT3P            
C-GCYY      S108            
C-GCYZ      C172            
C-GCZB      P28A            
C-GCZC      PARA            
C-GCZD      C172            
C-GCZE      C182            
C-GCZF      C150            
C-GCZI      C182            
C-GCZJ      C150            
C-GCZK      C172            
C-GCZL      C172            
C-GCZM      C172            
C-GCZN      C172            
C-GCZO      C150            
C-GCZQ      P28R            
C-GCZR      C182            
C-GCZT      C140            
C-GCZU      M18             
C-GCZV      PA25            
C-GCZW      RV3             
C-GCZX      C182            
C-GCZY      G164            
C-GCZZ      CH7A            
C-GDAB      C172            
C-GDAC      C185            
C-GDAD      PELI            
C-GDAE      RLU1            
C-GDAF      RBEL            
C-GDAG      AR11            
C-GDAH      C172            
C-GDAI      DV20            
C-GDAJ      C210            
C-GDAL      P337            
C-GDAM      C340            
C-GDAN      YK55            
C-GDAP      BE35            
C-GDAQ      BALL            
C-GDAR      C172            
C-GDAS      C188            
C-GDAU      COUR            
C-GDAV      PELI            
C-GDAW      C180            
C-GDAY      BL17            
C-GDAZ      ULAC            
C-GDBB      SONX            
C-GDBC      A5              
C-GDBD      SS2P            
C-GDBF      M20T            
C-GDBG      ZZZZ            
C-GDBH      RV4             
C-GDBK      PA31            
C-GDBL      P28A            
C-GDBM      C206            
C-GDBN      BEAR            
C-GDBO      C206            
C-GDBP      BE76            
C-GDBR      SS2P            
C-GDBS      PA31            
C-GDBT      PA32            
C-GDBU      GLID            
C-GDBW      GLID            
C-GDBY      P28A            
C-GDBZ      SR22            
C-GDCB      CAMP            
C-GDCD      AT5T            
C-GDCE      C185            
C-GDCF      C175            
C-GDCH      BALL            
C-GDCI      PA18            
C-GDCK      C82R            
C-GDCO      ULAC            
C-GDCR      M20T            
C-GDCS      P28R            
C-GDCT      ZZZZ            
C-GDCU      P28A            
C-GDCW      PA34            
C-GDCY      J3              
C-GDDA      KR2             
C-GDDB      P32R            
C-GDDD      CH7A            
C-GDDF      C185            
C-GDDG      PA38            
C-GDDH      QIC2            
C-GDDI      C182            
C-GDDK      C172            
C-GDDL      ULAC            
C-GDDM      GLID            
C-GDDN      HUSK            
C-GDDP      DV20            
C-GDDQ      AT5T            
C-GDDS      M20P            
C-GDDT      SS2P            
C-GDDU      M20P            
C-GDDV      ULAC            
C-GDDW      P28A            
C-GDDX      AT5T            
C-GDDY      C182            
C-GDDZ      CH70            
C-GDED      RV6             
C-GDEE      M20P            
C-GDEF      DV20            
C-GDEI      SE5R            
C-GDEJ      M7              
C-GDEM      M20P            
C-GDEO      MONI            
C-GDEQ      C172            
C-GDER      SS2P            
C-GDET      SR20            
C-GDEV      M20T            
C-GDEX      CH25            
C-GDFA      C172            
C-GDFB      DV20            
C-GDFC      C337            
C-GDFD      AR11            
C-GDFE      DA40            
C-GDFG      C150            
C-GDFH      C206            
C-GDFI      M5              
C-GDFJ      DV20            
C-GDFK      PA31            
C-GDFL      P28R            
C-GDFM      J3              
C-GDFO      DV20            
C-GDFP      DV20            
C-GDFQ      DV20            
C-GDFR      PA31            
C-GDFS      BALL            
C-GDFU      C180            
C-GDFV      ULAC            
C-GDFY      CH30            
C-GDGA      DG15            
C-GDGB      C152            
C-GDGC      BE36            
C-GDGD      BE24            
C-GDGE      C172            
