currentid   ICAO_type
4X-CGD      C172            
4X-CGE      C172            
4X-CGI      C172            
4X-CGJ      C172            
4X-CGK      C172            
4X-CGL      C172            
4X-CGO      C172            
4X-CGQ      C172            
4X-CGR      C152            
4X-CGV      C172            
4X-CGW      T210            
4X-CGX      C152            
4X-CHA      C172            
4X-CHC      C172            
4X-CHD      C172            
4X-CHF      C152            
4X-CHG      C152            
4X-CHN      C172            
4X-CHQ      C172            
4X-CHR      C152            
4X-CHU      C72R            
4X-CHV      C172            
4X-CIB      PA27            
4X-CIT      PA31            
4X-CIV      C414            
4X-CMP      PA27            
4X-CMS      C414            
4X-CSI      PA18            
4X-CSJ      C152            
4X-CSN      C152            
4X-CSU      PA18            
4X-CSY      PA18            
4X-CWC      C152            
4X-CWE      C182            
4X-CWF      C72R            
4X-CWH      C172            
4X-CWK      C172            
4X-CWO      SR22            
4X-CWP      C172            
4X-CWR      C172            
4X-CWS      SR22            
4X-CWT      SR22            
4X-CWW      SR22            
4X-CWZ      C172            
4X-CXA      DA42            
4X-CXF      P28A            
4X-CXH      DA42            
4X-CXI      C150            
4X-CXK      P32R            
4X-CXL      SR22            
4X-CXM      E300            
4X-CXO      DA42            
4X-CXR      DA62            
4X-CXT      E300            
4X-CXW      E300            
4X-CXX      DA40            
4X-CXY      E300            
4X-CXZ      EXNG            
4X-CYC      DA40            
4X-CYD      SR22            
4X-CYK      Z43             
4X-CYP      AC11            
4X-CYY      Z42             
4X-CZP      C206            
4X-CZT      PA31            
4X-CZV      C206            
4X-DAA      C172            
4X-DAC      P28A            
4X-DAD      P28A            
4X-DAM      C172            
4X-DAO      C172            
4X-DAP      C206            
4X-DAR      SR22            
4X-DAS      C172            
4X-DAT      DA42            
4X-DAV      C172            
4X-DAX      C82S            
4X-DAZ      C172            
4X-DBA      C172            
4X-DBG      C182            
4X-DBM      C172            
4X-DBR      C172            
4X-DBT      DA40            
4X-DZD      BE36            
4X-DZJ      BE58            
4X-DZM      BE24            
4X-DZZ      BE36            
4X-GAC      G104            
4X-GAD      G104            
4X-GAH      G102            
4X-GAL      G103            
4X-GAM      GLID            
4X-GAN      GLID            
4X-GAR      G103            
4X-GAS      GLID            
4X-GAT      G103            
4X-GAU      GLID            
4X-GAV      G102            
4X-GAY      G103            
4X-GAZ      GLID            
4X-GBH      G103            
4X-GBL      GLID            
4X-GBS      DISC            
4X-GBZ      AS24            
4X-GCC      AS24            
4X-GCH      JANU            
4X-GDC      IS28            
4X-GDD      GLID            
4X-GDI      DISC            
4X-GDS      DUOD            
4X-GDT      GLID            
4X-GDU      IS28            
4X-GEQ      DUOD            
4X-GES      PK20            
4X-GFR      G103            
4X-GGH      AS24            
4X-GGN      GLID            
4X-GGY      G102            
4X-GHF      NIMB            
4X-GHR      GLID            
4X-GHW      GLID            
4X-GIL      AS24            
4X-GIM      G103            
4X-GKG      GLID            
4X-GKP      GLID            
4X-GKZ      GLID            
4X-GLL      DISC            
4X-GME      JANU            
4X-GMF      TFUN            
4X-GMH      DG40            
4X-GMJ      JANU            
4X-GMK      DISC            
4X-GML      G102            
4X-GMR      PK20            
4X-GMW      DUOD            
4X-GMX      IS28            
4X-GMY      AS24            
4X-GRD      DG80            
4X-GYP      AS28            
4X-HBS      ULAC            
4X-HBY      ULAC            
4X-HCA      DRIF            
4X-HCC      DRIF            
4X-HCD      DRIF            
4X-HDQ      DRIF            
4X-HDW      RS12            
4X-HEK      RS12            
4X-HEO      ULAC            
4X-HEW      RS12            
4X-HEZ      LGEZ            
4X-HFA      DRIF            
4X-HFB      DRIF            
4X-HFC      RS12            
4X-HFH      ECHO            
4X-HFI      ECHO            
4X-HFQ      DRIF            
4X-HFT      DRIF            
4X-HFW      ECHO            
4X-HFY      RS12            
4X-HGA      CH70            
4X-HGD      CH70            
4X-HGK      ECHO            
4X-HGM      ECHO            
4X-HGS      DRIF            
4X-HGV      DRIF            
4X-HHC      DRIF            
4X-HHH      RS12            
4X-HHK      SVNH            
4X-HHP      RENE            
4X-HHS      DRIF            
4X-HHU      ECHO            
4X-HHX      ECHO            
4X-HHZ      STCH            
4X-HIC      TEXA            
4X-HID      SVNH            
4X-HIE      TEXA            
4X-HIG      TEXA            
4X-HIH      TEXA            
4X-HIK      SIRA            
4X-HIL      TEXA            
4X-HIO      CH70            
4X-HIU      ULAC            
4X-HIX      ECHO            
4X-HIZ      TEXA            
4X-HKJ      ECHO            
4X-HKO      TEXA            
4X-HKT      SVNH            
4X-HKX      ULAC            
4X-HLB      TEXA            
4X-HLC      ULAC            
4X-HLD      TEXA            
4X-HLE      TL20            
4X-HLF      AP32            
4X-HLH      TEXA            
4X-HLI      AP32            
4X-HLM      ASTO            
4X-HLN      TEXA            
4X-HLR      TEXA            
4X-HLT      SVNH            
4X-HLY      TEXA            
4X-HMA      ECHO            
4X-HMC      TEXA            
4X-HMD      TL20            
4X-HME      SIRA            
4X-HMG      TL30            
4X-HMH      SAVG            
4X-HMN      TL20            
4X-HMO      ECHO            
4X-HMW      ECHO            
4X-HMY      ECHO            
4X-HMZ      NG5             
4X-HNG      EFOX            
4X-HPA      ECHO            
4X-HPB      AP22            
4X-HPC      ECHO            
4X-HPD      SIRA            
4X-HPF      EFOX            
4X-HPG      AP22            
4X-HPH      SVNH            
4X-HPI      ECHO            
4X-HPL      TEXA            
4X-HPM      AP32            
4X-HPN      ECHO            
4X-HPP      EFOX            
4X-HPS      SVNH            
4X-HPV      SAVG            
4X-HPW      SVNH            
4X-HPY      PA11            
4X-HRA      SVNH            
4X-HRB      SVNH            
4X-HRC      TEXA            
4X-HRE      ULAC            
4X-HRI      SIRA            
4X-HRL      TEXA            
4X-HRN      SIRA            
4X-HRO      SIRA            
4X-HRP      NG5             
4X-HRS      TEXA            
4X-HRV      ULAC            
4X-HRW      SIRA            
4X-HRX      TEXA            
4X-HRY      TEXA            
4X-HSA      NG5             
4X-HSB      SIRA            
4X-HSC      EV97            
4X-HSD      EV97            
4X-HSE      EFOX            
4X-HSF      EV97            
4X-HSG      EV97            
4X-HSH      AP32            
4X-HSI      AP32            
4X-HSJ      ULAC            
4X-HSK      PA11            
4X-HSL      NG5             
4X-HSM      SIRA            
4X-HSR      PA11            
4X-HSS      EFOX            
4X-HST      TEXA            
4X-HSW      AP32            
4X-HTA      JFOX            
4X-HTG      JFOX            
4X-HTI      JFOX            
4X-HTK      JFOX            
4X-HTM      CH70            
4X-HTN      SVNH            
4X-HTO      SIRA            
4X-HTP      SVNH            
4X-HTR      TEXA            
4X-HTS      TEXA            
4X-HTU      TEXA            
4X-HTV      TEXA            
4X-HTX      TEXA            
4X-HUV      CHIN            
4X-HUW      CHIN            
4X-HUX      CHIN            
4X-HYA      TEXA            
4X-HYB      SIRA            
4X-HYC      TEXA            
4X-HYD      TEXA            
4X-HYE      TEXA            
4X-HYF      TEXA            
4X-HYG      TEXA            
4X-HYH      TEXA            
4X-HYI      AP32            
4X-HYJ      TEXA            
4X-HYM      TEXA            
4X-HYN      TEXA            
4X-HYO      AP22            
4X-HYR      ECHO            
4X-HYS      NG5             
4X-HYT      TEXA            
4X-HYV      SVNH            
4X-HYW      TEXA            
4X-HYX      TEXA            
4X-HYY      TL20            
4X-HYZ      SIRA            
4X-HZB      NG5             
4X-HZF      EFOX            
4X-HZH      ECHO            
4X-HZI      AP32            
4X-HZK      NG5             
4X-HZM      NG5             
4X-HZP      TL20            
4X-HZR      TEXA            
4X-HZY      TEXA            
4X-HZZ      NG5             
4X-OAA      RV8             
4X-OAB      ACAM            
4X-OAG      DRIF            
4X-OAO      FOX             
4X-OAZ      ACAM            
4X-OBB      SVNH            
4X-OBW      BUSH            
4X-OBZ      DRIF            
4X-OCD      DRIF            
4X-ODA      BUSH            
4X-ODN      NNJA            
4X-OED      SKRA            
4X-OEG      SKRA            
4X-OEZ      AP20            
4X-OFH      COY2            
4X-OFK      VL3             
4X-OFM      MAGC            
4X-OGY      SVNH            
4X-OIA      DRIF            
4X-OIB      ACAM            
4X-OLG      FOX             
4X-OMR      RODS            
4X-OMS      RV7             
4X-ONA      NNJA            
4X-OND      BUSH            
4X-ONN      DRIF            
4X-ONS      VTRA            
4X-ONZ      NNJA            
4X-OOA      BUSH            
4X-OOH      NNJA            
4X-OOO      ACAM            
4X-ORG      G70             
4X-ORN      VL3             
4X-ORS      ACAM            
4X-OSM      RV7             
4X-OST      TRDO            
4X-OTL      CC11            
4X-OTT      BUSH            
4X-OYN      RV8             
4X-OYR      DRIF            
4X-OYS      BUSH            
4X-OYV      DRIF            
4X-YHL      EVTL            
900         G120            
912         G120            
918         G120            
922         G120            
930         G120            
933         G120            
936         G120            
941         G120            
958         G120            
969         G120            
970         G120            
972         G120            
979         G120            
990         G120            
992         G120            
994         G120            
999         G120            
304         BE36            
309         BE36            
311         BE36            
313         BE36            
320         BE36            
324         BE36            
328         BE36            
330         BE36            
333         BE36            
335         BE36            
338         BE36            
340         BE36            
346         BE36            
363         BE36            
369         BE36            
389         BE36            
5A-DAL      RALL            
5A-DAM      RALL            
5A-DAN      RALL            
5A-DAO      C150            
5A-DAP      C150            
5A-DAW      C185            
5A-DBG      BE65            
5A-DBI      C206            
5A-DBK      C188            
5A-DBX      F260            
5A-DBY      F260            
5A-DCB      C188            
5A-DCC      C185            
5A-DCF      C188            
5A-DCI      C188            
5A-DDG      C188            
5A-DDH      C188            
5A-DDI      C188            
5A-DDJ      C188            
5A-DDK      C188            
5A-DDO      C188            
5A-DDP      C188            
5A-DDX      P32R            
5A-DEB      RALL            
5A-DED      RALL            
5A-DEF      RALL            
5A-DEH      C188            
5A-DEN      C188            
5A-DEP      C185            
5A-DES      PA34            
5A-DEV      C337            
5A-DEW      RALL            
5A-DEX      RALL            
5A-DEZ      RALL            
5A-DFA      C150            
5A-DFB      C150            
5A-DFC      C150            
5A-DFD      C172            
5A-DFE      C172            
5A-DFF      C150            
5A-DFG      C150            
5A-DFH      C150            
5A-DFI      C150            
5A-DFJ      C150            
5A-DFL      P28A            
5A-DFM      P28A            
5A-DFT      C310            
5A-DFU      C310            
5A-DFW      C152            
5A-DFX      C152            
5A-DFZ      C152            
5A-DGB      C310            
5A-DGD      C310            
5A-DGF      RALL            
5A-DGG      C152            
5A-DGH      C172            
5A-DGL      C152            
5A-DGM      C172            
5A-DGP      C188            
5A-DGT      C188            
5A-DGV      C188            
5A-DGW      C188            
5A-DGX      C188            
5A-DGY      C188            
5A-DGZ      C188            
5A-DHA      C152            
5A-DHB      C152            
5A-DHC      C152            
5A-DHD      C152            
5A-DHE      C172            
5A-DHF      C172            
5A-DHG      C402            
5A-DHP      C310            
5A-DHQ      C310            
5A-DHR      C310            
5A-DHT      C310            
5A-DIK      W201            
5A-DIL      W201            
5A-DIM      C188            
5A-DIN      C188            
5A-DIO      C188            
5A-DIP      C188            
5A-DIR      C188            
5A-DIT      C188            
5A-DIW      C188            
5A-DKB      PA31            
5A-DKZ      C402            
5A-DMA      RALL            
5A-DMB      RALL            
5A-DMC      RALL            
5A-DPA      C414            
5A-DPB      C310            
5A-DSF      P68             
5A-GDR      CH2T            
5A-GDS      CH2T            
5A-GPC      C172            
5A-KFA      C172            
5A-KFB      C172            
212         F260            
218         F260            
219         F260            
220         F260            
221         F260            
222         F260            
302         F260            
307         F260            
308         F260            
309         F260            
310         F260            
311         F260            
313         F260            
314         F260            
317         F260            
319         F260            
320         F260            
321         F260            
323         F260            
324         F260            
325         F260            
326         F260            
327         F260            
328         F260            
329         F260            
330         F260            
331         F260            
332         F260            
333         F260            
335         F260            
336         F260            
337         F260            
338         F260            
339         F260            
340         F260            
342         F260            
344         F260            
345         F260            
346         F260            
347         F260            
348         F260            
349         F260            
350         F260            
381         F260            
382         F260            
383         F260            
384         F260            
385         F260            
386         F260            
387         F260            
388         F260            
389         F260            
390         F260            
391         F260            
392         F260            
394         F260            
395         F260            
396         F260            
397         F260            
398         F260            
399         F260            
400         F260            
402         F260            
403         F260            
404         F260            
405         F260            
406         F260            
408         F260            
409         F260            
410         F260            
411         F260            
412         F260            
415         F260            
416         F260            
417         F260            
418         F260            
419         F260            
420         F260            
421         F260            
422         F260            
423         F260            
424         F260            
425         F260            
427         F260            
428         F260            
429         F260            
430         F260            
431         F260            
432         F260            
433         F260            
434         F260            
435         F260            
436         F260            
437         F260            
438         F260            
439         F260            
442         F260            
443         F260            
444         F260            
445         F260            
446         F260            
447         F260            
448         F260            
449         F260            
450         F260            
451         F260            
452         F260            
453         F260            
454         F260            
455         F260            
456         F260            
457         F260            
458         F260            
459         F260            
460         F260            
462         F260            
463         F260            
464         F260            
465         F260            
470         F260            
471         F260            
473         F260            
475         F260            
476         F260            
477         F260            
478         F260            
489         F260            
515         F260            
521         F260            
530         F260            
534         F260            
535         F260            
539         F260            
550         F260            
561         F260            
565         F260            
569         F260            
583         F260            
604         F260            
610         F260            
614         F260            
669         F260            
5B-         ULAC            
5B-CEK      C152            
5B-CIA      P28R            
5B-CIY      C172            
5B-CIZ      SF25            
5B-CJB      C150            
5B-CKC      PUP             
5B-CKF      M20P            
5B-CKP      C172            
5B-CKY      C172            
5B-CLH      DA40            
5B-CLP      A210            
5B-CLT      DA42            
5B-CLZ      P208            
5B-CMB      P06T            
5B-CMC      A210            
5B-CMF      P208            
5B-CMG      P208            
5B-CMJ      C152            
5B-CMK      PIVI            
5B-CMN      PIVI            
5B-CMO      C150            
5B-HAP      ULAC            
5B-HAR      ULAC            
5B-HAV      ZEPH            
5B-HAX      ULAC            
5B-HAY      RV6             
5B-HBD      ULAC            
5B-HBH      ZZZZ            
5B-HBJ      AFOX            
5B-HBL      ULAC            
5B-HBM      ULAC            
5B-HBN      ULAC            
5B-HBP      ULAC            
5B-HBR      AFOX            
5B-HBS      ULAC            
5B-HBU      AFOX            
5B-HBV      NG5             
5B-HBX      STCH            
5B-HBY      SKAR            
5B-HBZ      LNC2            
5B-HPC      PARA            
5B-HPG      ULAC            
5B-HPH      PARA            
5B-HPI      PARA            
5B-HPJ      PARA            
5B-HPK      PARA            
5B-HPL      PARA            
5B-HPM      PARA            
FD-1        AT8T            
FD-2        SS2T            
5H-         PA34            
5H-         ULAC            
5H-AAR      BALL            
5H-AAS      BALL            
5H-AMK      C182            
5H-ARP      PA34            
5H-ARW      P28B            
5H-ASA      C206            
5H-ATP      PA34            
5H-AZN      PA31            
5H-AZT      PA34            
5H-BUG      ULAC            
5H-CLT      AC68            
5H-COF      C182            
5H-CPT      C182            
5H-CTH      C402            
5H-DAY      C206            
5H-DKB      C206            
5H-DKG      PA32            
5H-EAT      C182            
5H-HEL      NNJA            
5H-ICE      T210            
5H-IDA      C310            
5H-IKA      C152            
5H-ILS      PA31            
5H-ITL      C172            
5H-JOY      C182            
5H-KSE      PA25            
5H-KSN      C421            
5H-LCL      SVNH            
5H-LDS      C310            
5H-LSA      J600            
5H-LSB      J600            
5H-LSC      J600            
5H-MEA      BALL            
5H-MEB      BALL            
5H-MEC      BALL            
5H-MED      BALL            
5H-MEE      BALL            
5H-MEG      BALL            
5H-MGN      ZZZZ            
5H-MOF      BE55            
5H-MOY      C310            
5H-MPD      C206            
5H-MPZ      C182            
5H-MSA      SVNH            
5H-MSO      C206            
5H-MSU      P28R            
5H-MTG      P28A            
5H-MUJ      C206            
5H-MUK      ULAC            
5H-MUL      JABI            
5H-MUY      BALL            
5H-MVB      PARA            
5H-MVF      ULAC            
5H-MVG      BALL            
5H-MVI      C206            
5H-MVL      ULAC            
5H-MVM      BALL            
5H-MVN      ULAC            
5H-MVW      BALL            
5H-MVX      BALL            
5H-MWA      C206            
5H-MWI      BALL            
5H-MWJ      ULAC            
5H-MWL      ULAC            
5H-MWM      COY2            
5H-MWN      BALL            
5H-MWQ      BALL            
5H-MWR      BALL            
5H-MWS      BALL            
5H-MWX      BALL            
5H-MWY      BALL            
5H-MWZ      BALL            
5H-MXB      BALL            
5H-MXG      BALL            
5H-MXI      C206            
5H-MXK      NNJA            
5H-MXM      BALL            
5H-MXO      ULAC            
5H-MXS      BALL            
5H-MXT      BALL            
5H-MXX      ULAC            
5H-MYB      C172            
5H-MYE      BALL            
5H-MYF      BALL            
5H-MYG      BALL            
5H-MYH      BALL            
5H-MYI      BALL            
5H-MYJ      BALL            
5H-MYK      BALL            
5H-MYL      NNJA            
5H-MYM      SVNH            
5H-MYO      BALL            
5H-MYP      BALL            
5H-MYQ      BALL            
5H-MYR      BALL            
5H-MZB      PA34            
5H-MZT      C172            
5H-MZU      C172            
5H-NIA      C172            
5H-NIT      C172            
5H-NPC      C206            
5H-NSA      BALL            
5H-PTL      C206            
5H-PVT      C185            
5H-QMG      C152            
5H-SAS      HUSK            
5H-SCI      ULAC            
5H-SGR      C206            
5H-SIL      C206            
5H-SKA      PA27            
5H-SKU      PA34            
5H-TAJ      C206            
5H-TAO      PA27            
5H-TBL      C185            
5H-TCC      C206            
5H-TEC      C206            
5H-TFS      P28A            
5H-TOY      C404            
5H-TPK      C182            
5H-TPM      C206            
5H-TPN      C206            
5H-TPP      SS2T            
5H-TWR      C182            
5H-TZJ      BE33            
5H-TZO      P68             
5H-TZY      P68             
5H-ULR      BALL            
5H-USU      SVNH            
5H-VCR      PA27            
5H-WKF      FOX             
5H-ZGF      C182            
5H-ZNZ      PA34            
5H-ZOG      PA31            
5H-ZRN      C404            
5H-ZRP      COY2            
5Y-BRI      C206            
JW9026      C402            
JW9028      C402            
JW9304      P28A            
5N-         C172            
5N-         DA40            
5N-ACH      C150            
5N-ADI      C150            
5N-AEU      C172            
5N-AFF      C152            
5N-AGS      C310            
5N-AIT      C172            
5N-AJA      C310            
5N-AME      G164            
5N-AMP      PA31            
5N-APE      C172            
5N-ARR      C172            
5N-ASS      PA31            
5N-AST      C337            
5N-ATE      P68             
5N-ATG      C206            
5N-AUJ      PA18            
5N-AUO      G164            
5N-AUP      G164            
5N-AWP      PA31            
5N-AXC      C172            
5N-AXH      PA27            
5N-AZC      C150            
5N-AZD      C150            
5N-AZE      C150            
5N-AZF      C150            
5N-AZG      C150            
5N-AZH      C150            
5N-AZI      C150            
5N-AZL      C172            
5N-AZM      C172            
5N-AZP      C172            
5N-AZX      PA27            
5N-AZY      PA27            
5N-BCA      PA27            
5N-BKC      C172            
5N-BKD      PA27            
5N-BKE      PA27            
5N-BKK      C172            
5N-BKL      C152            
5N-BKP      C172            
5N-BKT      C206            
5N-BLM      C172            
5N-BNH      DA42            
5N-BNI      DA42            
5N-BNJ      DA40            
5N-BNK      DA40            
5N-BPV      AT5T            
5N-BUM      C82R            
5N-BXJ      C172            
5N-CAG      BE58            
5N-CAJ      TAMP            
5N-CAU      TAMP            
5N-CAV      TAMP            
5N-CAZ      BE58            
5N-CBA      TAMP            
5N-CBB      TAMP            
5N-CBC      TAMP            
5N-CBD      TAMP            
5N-CBE      TAMP            
5N-CBF      TAMP            
5N-CBG      TAMP            
5N-CBH      TAMP            
5N-CBI      TAMP            
5N-CBJ      TAMP            
5N-CBK      TAMP            
5N-CBQ      TB20            
5N-CBR      TB20            
5N-CBS      TB20            
5N-CBT      TB20            
5N-CBU      TB20            
5N-CDZ      JAB4            
5N-CEB      JAB4            
5N-YOM      C172            
NAF-036     DA40            
NAF-037     DA40            
NAF040      RV6             
NAF041      RV6             
NAF042      RV6             
NAF043      RV6             
NAF044      RV6             
NAF045      RV6             
NAF047      RV6             
NAF048      RV6             
NAF050      RV6             
NAF051      RV6             
NAF052      RV6             
NAF056      RV6             
NAF057      RV6             
NAF058      RV6             
NAF059      RV6             
NAF060      RV6             
NAF061      RV6             
NAF062      RV6             
NAF063      RV6             
NAF064      RV6             
NAF065      RV6             
NAF066      RV6             
NAF067      RV6             
NAF068      RV6             
NAF069      RV6             
NAF072      RV6             
NAF073      RV6             
NAF074      RV6             
NAF075      RV6             
NAF076      RV6             
NAF077      RV6             
NAF079      RV6             
NAF080      RV6             
NAF081      RV6             
NAF082      RV6             
NAF083      RV6             
NAF084      RV6             
NAF085      RV6             
NAF086      RV6             
NAF087      RV6             
NAF088      RV6             
NAF091      RV6             
NAF092      RV6             
NAF093      RV6             
NAF094      RV6             
NAF095      RV6             
NAF096      RV6             
NAF097      RV6             
NAF098      RV6             
NAF099      RV6             
5N-ASM      AC68            
NAF255      DA42            
NAF282      MF17            
NAF283      MF17            
NAF284      MF17            
NAF285      MF17            
NAF286      MF17            
NAF287      MF17            
NAF288      MF17            
NAF289      MF17            
NAF290      MF17            
NAF291      MF17            
5R-         C150            
5R-         C206            
5R-         C206            
5R-         C182            
5R-         C337            
5R-         C182            
5R-         C206            
5R-         C206            
5R-ALA      C206            
5R-ALE      C206            
5R-ALO      C206            
5R-MBB      C172            
5R-MBC      RALL            
5R-MBE      C182            
5R-MBH      C206            
5R-MBM      PA25            
5R-MBN      C182            
5R-MBV      RALL            
5R-MBZ      PA18            
5R-MCH      PA27            
5R-MCK      PA27            
5R-MCN      PA27            
5R-MCQ      PA27            
5R-MCR      PA31            
5R-MDA      PA27            
5R-MDB      C402            
5R-MDD      PA18            
5R-MDN      C206            
5R-MDO      PA25            
5R-MDP      PA25            
5R-MDV      PA24            
5R-MDX      C172            
5R-MDZ      PA25            
5R-MEA      PA25            
5R-MEG      C150            
5R-MEH      C172            
5R-MEK      C401            
5R-MEM      P28A            
5R-MEO      PA25            
5R-MEP      PA32            
