currentid   ICAO_type
5Y-ELO      C208            
5Y-EOC      C208            
5Y-EST      C208            
5Y-ESU      C208            
5Y-EXZ      BE20            
5Y-FAJ      C208            
5Y-FDB      C208            
5Y-FDF      PC12            
5Y-FDK      BE20            
5Y-FDP      PC12            
5Y-FMB      C208            
5Y-FOR      C208            
5Y-FPB      C208            
5Y-FTB      C208            
5Y-FTC      C208            
5Y-FTD      C208            
5Y-FTE      C208            
5Y-GCA      C208            
5Y-GCC      C208            
5Y-GIS      C208            
5Y-GNR      B350            
5Y-GSU      C208            
5Y-GSV      C208            
5Y-HHA      BE20            
5Y-HHE      BE20            
5Y-HJA      C208            
5Y-HYS      BE20            
5Y-ISA      C208            
5Y-JAI      BE20            
5Y-JJZ      BE20            
5Y-JMN      PC12            
5Y-KWT      C208            
5Y-LEO      C208            
5Y-LEX      C208            
5Y-LJM      C208            
5Y-MAE      C208            
5Y-MAG      C208            
5Y-MHJ      B350            
5Y-MHO      C208            
5Y-MIC      C208            
5Y-MJA      C208            
5Y-MJM      C208            
5Y-MKM      F406            
5Y-MMK      C208            
5Y-NFY      C208            
5Y-NJS      BE20            
5Y-NLD      C208            
5Y-NLM      C208            
5Y-OBY      C208            
5Y-ODS      C208            
5Y-OER      C208            
5Y-OPM      C208            
5Y-PCS      C208            
5Y-PCX      PC12            
5Y-PEM      C208            
5Y-PMM      C208            
5Y-POL      C208            
5Y-PYR      C208            
5Y-RJA      BE20            
5Y-SFW      BE20            
5Y-SLE      C208            
5Y-SLG      C208            
5Y-SLH      C208            
5Y-SLI      C208            
5Y-SLJ      C208            
5Y-SLL      C208            
5Y-SLN      C208            
5Y-SLP      C208            
5Y-SLQ      C208            
5Y-SLR      C208            
5Y-SMB      BE20            
5Y-SMH      C208            
5Y-SOP      C208            
5Y-SRI      PC12            
5Y-STW      C208            
5Y-SXB      C208            
5Y-SXC      C208            
5Y-SXE      C208            
5Y-SXI      C208            
5Y-SXN      C208            
5Y-SXS      C208            
5Y-TAO      C208            
5Y-TBI      C208            
5Y-TDL      PC12            
5Y-TLC      C208            
5Y-TPA      BE20            
5Y-VAN      C208            
5Y-XCB      TBM7            
5Y-XPA      C208            
5Y-YWA      C208            
5Y-YWB      C208            
5Y-YWC      C208            
5Y-ZBD      C208            
5Y-ZBF      C208            
5Y-ZBG      C208            
5Y-ZBH      C208            
5Y-ZBJ      C208            
5Y-ZBK      BE20            
5Y-ZBL      C208            
5Y-ZBN      C208            
5Y-ZBP      C208            
5Y-ZBR      C208            
5Y-ZBS      C208            
5Y-ZBT      C208            
5Y-ZBV      C208            
5Y-ZBW      C208            
5Y-ZBX      C208            
5Y-ZBY      C208            
KAF-        C208            
KAF-        C208            
KAF-        C208            
KAF-        C208            
60461       P180            
6V-AIG      BE9L            
6V-AIO      PAY3            
6W-TNA      BE20            
6W-TNB      BE20            
6Y-JAP      BN2P            
JDFT-11     B350            
7O-         C208            
7O-         C208            
7Q-FMB      BE20            
7Q-SOG      C208            
7Q-ULL      C208            
7Q-YAO      B350            
7T-VBE      BE20            
7T-VCG      PC6T            
7T-VCH      PC6T            
7T-VCJ      PC6T            
7T-VCK      PC6T            
7T-VCV      BE10            
7T-VIG      C208            
7T-VII      C208            
7T-VIL      C208            
7T-VIM      C208            
7T-VNA      PC6T            
7T-VNR      C208            
7T-VNS      C208            
7T-VRF      BE10            
7T-VUR      B350            
7T-WBD      BE9L            
7T-WBE      BE9L            
7T-WBF      BE9L            
7T-WBG      BE9L            
7T-WBH      BE9L            
7T-WCF      BE9L            
7T-WCG      BE9L            
7T-WCH      BE9L            
7T-WLD      PC6T            
7T-WLE      PC6T            
7T-WLF      PC6T            
7T-WRG      BE20            
7T-WRH      BE20            
7T-WRI      BE20            
7T-WRJ      B350            
7T-WRL      B350            
7T-WRM      B350            
7T-WRN      B350            
7T-WRO      BE20            
7T-WRP      B350            
7T-WRQ      B350            
7T-WRS      BE20            
7T-WRT      BE20            
7T-WRY      BE20            
7T-WRZ      BE20            
8P-EAA      BE20            
8R-         C208            
8R-         C208            
8R-ASL      C208            
8R-BKB      C208            
8R-BKP      C208            
8R-GAB      C208            
8R-GAD      C208            
8R-GAE      C208            
8R-GAH      C208            
8R-GAI      C208            
8R-GAS      C208            
8R-GBK      BN2P            
8R-GCB      C208            
8R-GCC      C208            
8R-GFA      C208            
8R-GFI      BN2P            
8R-GGT      BN2P            
8R-GGY      BN2P            
8R-GHT      C208            
8R-GMN      BN2P            
8R-GRB      BN2P            
8R-GRC      BN2P            
8R-GRD      TRIS            
8R-GRF      TRIS            
8R-GTG      C208            
8R-GUY      C208            
8R-GZR      C208            
8R-HML      BN2P            
8R-KAB      C208            
8R-KTB      C208            
8R-NYP      BN2P            
8R-PTV      C208            
8R-YAC      C208            
8R-1GY      B350            
9A-BZG      PAY1            
9A-CZG      PAY1            
9A-LAN      BE9L            
9A-SET      BE9L            
9A-SMM      BN2P            
9A-TIM      PAY2            
9G-         BN2P            
9G-GBN      BN2P            
9G-MCD      BE20            
9G-SAG      PAY4            
9H-CGF      P46T            
9H-EHA      PC12            
9H-EHB      PC12            
9H-EHC      PC12            
9H-JCA      BE20            
9H-NIK      P180            
9H-OTI      PC12            
9H-PARTS    BE20            
9H-RBA      BE20            
9H-RVM      PC6T            
9H-SFY      BE20            
9H-SML      BE20            
9H-SPY      PC12            
9H-TIW      PC12            
9H-WIT      PC12            
9H-XPA      BE20            
9H-1MMG     BE20            
AS1126      BE20            
AS1227      BE20            
AS1731      BE20            
AS9819      BN2T            
9J-         KODI            
9J-AAV      BE9L            
9J-ACB      BN2P            
9J-ACC      BN2P            
9J-ACE      BN2P            
9J-ACM      BN2P            
9J-AGC      C208            
9J-BAT      C208            
9J-BOK      C208            
9J-BOS      C208            
9J-CGC      C208            
9J-CID      C208            
9J-EGG      C208            
9J-FDS      C208            
9J-FQM      C208            
9J-MCL      B350            
9J-MEL      B360            
9J-PCB      BE9L            
9J-PCR      C208            
9J-PLJ      BN2P            
9J-RAF      C208            
9J-STA      BE9L            
9J-STB      BE20            
9J-STL      BE9L            
9J-TRI      C208            
9J-UAS      BN2P            
9J-YVZ      BE9L            
AF223       C208            
AF224       C208            
9M-JPC      BN2P            
